"member_casual","hour","average_ride_length","total_rides"
"casual",0,25.5056553597195,35347
"casual",1,26.5296344849946,23647
"casual",2,28.4598289145707,14710
"casual",3,30.4371769708865,8152
"casual",4,27.6884033177812,6430
"casual",5,15.865109163083,12092
"casual",6,17.213718113948,28709
"casual",7,17.5371108779293,53368
"casual",8,18.4722236188108,75581
"casual",9,25.2631781627242,76432
"casual",10,29.6397471676625,94239
"casual",11,29.2888657266505,119927
"casual",12,28.4845412261362,141969
"casual",13,28.0732481201316,148060
"casual",14,27.8240899336779,154247
"casual",15,26.4279694435607,169566
"casual",16,24.9523722223093,190911
"casual",17,23.7010970046961,203296
"casual",18,24.026076930172,173456
"casual",19,24.5096302984814,127914
"casual",20,23.9460496505437,93574
"casual",21,21.8812191933478,77770
"casual",22,22.243060278207,67935
"casual",23,24.7194913949371,47627
"member",0,12.3590309697453,32634
"member",1,12.6433994636284,20011
"member",2,13.2329007946981,11367
"member",3,12.8482264957265,7800
"member",4,13.0044700019168,8695
"member",5,11.5227555838814,34519
"member",6,11.1481091309809,103753
"member",7,11.9098445349555,199852
"member",8,11.8002319634202,254566
"member",9,11.9263817635866,173287
"member",10,12.9768088760288,152756
"member",11,12.9860334757117,178398
"member",12,12.6288064976596,204094
"member",13,12.6775743725798,203917
"member",14,13.0939013046779,204265
"member",15,13.3100785176548,250432
"member",16,13.379242218226,341985
"member",17,13.6413002728391,391928
"member",18,13.1635281983817,305579
"member",19,13.02361853874,214477
"member",20,12.8281272167837,150368
"member",21,12.6030122411523,115512
"member",22,12.8960753035083,83688
"member",23,12.7601774157907,52795
