"member_casual","month","average_ride_length","total_rides"
"casual","Jan",21.6586328693113,24065
"casual","Feb",25.4869022333763,46611
"casual","Mar",25.3141972426317,81382
"casual","Apr",26.0193025668274,131745
"casual","May",28.5694633633835,226845
"casual","Jun",27.7096887550198,301124
"casual","Jul",27.9509692957556,320542
"casual","Aug",25.8012908622992,318366
"casual","Sep",21.3741489490672,346454
"casual","Oct",23.2736190942627,216428
"casual","Nov",19.4157130521398,93032
"casual","Dec",17.5442603935879,38365
"member","Jan",14.0368632821086,118302
"member","Feb",13.0451568840189,174237
"member","Mar",12.1249179448766,216318
"member","Apr",12.3681167253048,283092
"member","May",13.701248584907,373356
"member","Jun",13.8887155062742,409531
"member","Jul",13.7224978660461,428391
"member","Aug",13.3974543351068,437371
"member","Sep",12.1984468627703,474341
"member","Oct",11.9903497143657,399812
"member","Nov",11.0998060141136,241942
"member","Dec",10.7528745937064,139985
