hour,member_casual,total_rides
0,casual,35456
1,casual,23716
2,casual,14753
3,casual,8203
4,casual,6454
5,casual,12126
6,casual,28776
7,casual,53523
8,casual,75792
9,casual,76637
10,casual,94483
11,casual,120300
12,casual,142400
13,casual,148491
14,casual,154724
15,casual,170118
16,casual,191465
17,casual,203967
18,casual,173978
19,casual,128347
20,casual,93872
21,casual,78031
22,casual,68114
23,casual,47692
0,member,32771
1,member,20078
2,member,11400
3,member,7828
4,member,8717
5,member,34611
6,member,104031
7,member,200399
8,member,255321
9,member,173874
10,member,153274
11,member,179007
12,member,204763
13,member,204639
14,member,204997
15,member,251217
16,member,343070
17,member,393202
18,member,306677
19,member,215172
20,member,150851
21,member,115876
22,member,83976
23,member,52906
